-60,0
0,0
0,38
-60,38
-60,0
-35.5433,21.4011
-24.4567,54.5989
-147.763,95.7774
-158.849,62.5797
-35.5433,21.4011
-165.073,66.225
-141.539,92.1321
-237.766,179.542
-261.299,153.635
-165.073,66.225
-266.592,170.487
-232.472,162.69
-212.421,250.428
-246.541,258.225
-266.592,170.487
0.0100002,0
60.01,0
60.01,38
0.0100002,38
0.0100002,0
13.3848,32.5364
46.6352,43.4636
6.04819,166.965
-27.2023,156.038
13.3848,32.5364
-25.6245,152.567
4.47036,170.436
-61.9003,282.217
-91.9951,264.348
-25.6245,152.567
-81.2656,256.324
-72.6297,290.241
-159.847,312.448
-168.483,278.53
-81.2656,256.324
